,Product Name,Price,Ratings,Reviews
135,"POCO X7 Pro 5G (Yellow, 256 GB)","₹22,999",4.3,"7,072 Ratings & 1,059 Reviews"
136,"Samsung M05 (Mint Green, 64 GB)","₹6,877",4.2,"2,410 Ratings & 109 Reviews"
137,"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹20,999",4.4,"1,50,662 Ratings & 10,513 Reviews"
138,"Motorola G85 5G (Cobalt Blue, 128 GB)","₹16,999",4.4,"2,02,277 Ratings & 10,531 Reviews"
139,itel it2165s,₹879,4.1,"2,243 Ratings & 114 Reviews"
140,LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,₹995,4,"18,664 Ratings & 832 Reviews"
141,"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)","₹22,999",4.5,"29,456 Ratings & 1,759 Reviews"
142,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)","₹10,999",4.5,"21,759 Ratings & 656 Reviews"
143,"Motorola G85 5G (Viva Magenta, 128 GB)","₹16,999",4.4,"2,02,277 Ratings & 10,531 Reviews"
144,"POCO C71 (Power Black, 64 GB)","₹6,399",3.9,"13,786 Ratings & 773 Reviews"
145,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB)","₹83,832",4.6,"3,121 Ratings & 312 Reviews"
146,"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹10,999",4.4,"6,523 Ratings & 262 Reviews"
147,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹16,785",4.4,"22,440 Ratings & 1,102 Reviews"
148,"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹9,999",4.2,"51,965 Ratings & 3,198 Reviews"
149,"Infinix Note 50s 5G+ (Burgundy Red, 256 GB)","₹17,999",4.4,"11,541 Ratings & 1,202 Reviews"
150,"POCO M7 Pro 5G (Olive Twilight, 128 GB)","₹12,999",4.3,"13,796 Ratings & 1,280 Reviews"
151,"REDMI A3X (Ocean Green, 64 GB)","₹5,999",4.1,"7,690 Ratings & 352 Reviews"
